feature_source,method,mae,n_test,conformal_offset,n_calibration,coverage_before_calibration,coverage_after_calibration,mean_width_before_calibration,mean_width_after_calibration,accuracy,balanced_accuracy,f1,precision,recall,roc_auc
raw_pca,age_knn,11.278553655869224,3497,5.0,2332.0,0.7995424649699743,0.902487846725765,37.320752448394,47.320752448394,,,,,,
raw_pca,age_kernel,13.989427429049627,3497,,,,,,,,,,,,
raw_pca,gender_knn,,3497,,,,,,,0.7706605661995997,0.7674679114946465,0.7450731087094723,0.7849966510381782,0.7090139140955838,0.8382771809094882
raw_pca,gender_kernel,,3497,,,,,,,0.8441521303974836,0.8441087853150717,0.8364836483648365,,,
frozen_backbone,age_knn,8.717519377909477,3497,3.6316402854098513,2332.0,0.8418644552473549,0.9187875321704319,30.559497788835223,37.822778359654926,,,,,,
frozen_backbone,age_kernel,10.499974018887215,3497,,,,,,,,,,,,
frozen_backbone,gender_knn,,3497,,,,,,,0.8126965970832142,0.8107732867211788,0.7965206585896241,0.8186462324393359,0.7755595886267392,0.8993327716778672
frozen_backbone,gender_kernel,,3497,,,,,,,0.7872462110380326,0.785575723098606,0.7703703703703704,,,
