corruption,severity,param,n_samples,age_mae,age_rmse,interval_coverage,mean_interval_width,interval_coverage_calibrated,mean_interval_width_calibrated,gender_accuracy,abstention_rate,mean_confidence,age_mae_delta,age_mae_pct_change,age_rmse_delta,age_rmse_pct_change,interval_coverage_delta,interval_coverage_pct_change,mean_interval_width_delta,mean_interval_width_pct_change,interval_coverage_calibrated_delta,interval_coverage_calibrated_pct_change,mean_interval_width_calibrated_delta,mean_interval_width_calibrated_pct_change,gender_accuracy_delta,gender_accuracy_pct_change,abstention_rate_delta,abstention_rate_pct_change
clean,0,,300,5.753019027709961,8.097393844316231,0.77,16.319618225097656,0.8833333333333333,23.325881958007812,0.9621212121212122,0.12,0.9409754276275635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gaussian_blur,1,0.8,300,5.834456057449182,8.162527316486802,0.7533333333333333,16.342355728149414,0.8866666666666667,23.348615646362305,0.9619771863117871,0.12333333333333334,0.9414046406745911,0.08143702973922107,1.4155529357190009,0.06513347217057053,0.8043757463555931,-0.01666666666666672,-2.164502164502171,0.022737503051757812,0.1393261946335865,0.0033333333333334103,0.3773584905660465,0.022733688354492188,0.09746121666661216,-0.0001440258094250746,-0.014969611688275469,0.003333333333333341,2.7777777777777843
gaussian_blur,2,1.6,300,6.290961306293806,8.998761975245621,0.74,16.20816421508789,0.85,23.214427947998047,0.9471698113207547,0.11666666666666667,0.9421094655990601,0.537942278583845,9.350608367411878,0.9013681309293897,11.131583176753631,-0.030000000000000027,-3.8961038961038996,-0.11145401000976562,-0.6829449590822072,-0.033333333333333326,-3.7735849056603765,-0.11145401000976562,-0.4778126298092805,-0.014951400800457426,-1.5540038627247088,-0.003333333333333327,-2.777777777777773
gaussian_blur,3,2.6,300,7.454175110061963,10.968939784808592,0.6666666666666666,16.32496452331543,0.8133333333333334,23.331226348876953,0.9507575757575758,0.12,0.9410420656204224,1.7011560823520027,29.569797599455576,2.8715459404923607,35.46259445572074,-0.10333333333333339,-13.419913419913426,0.0053462982177734375,0.032759946611688864,-0.06999999999999995,-7.924528301886786,0.005344390869140625,0.022911849072895986,-0.011363636363636354,-1.1811023622047234,0.0,0.0
gaussian_noise,1,0.03,300,7.7275536141792935,10.397207027925479,0.6433333333333333,19.43906593322754,0.85,26.445329666137695,0.9548872180451128,0.11333333333333333,0.9402136206626892,1.9745345864693329,34.3217113824724,2.2998131836092472,28.40189359473413,-0.1266666666666667,-16.450216450216455,3.119447708129883,19.11471006921313,-0.033333333333333326,-3.7735849056603765,3.119447708129883,13.37333230848736,-0.00723399407609937,-0.7518796992481235,-0.006666666666666668,-5.555555555555556
gaussian_noise,2,0.08,300,31.950894414583843,36.37607452010613,0.13333333333333333,29.102148056030273,0.20666666666666667,36.1084098815918,0.9147286821705426,0.14,0.9285644292831421,26.197875386873882,455.37612965799934,28.2786806757899,349.2318790401856,-0.6366666666666667,-82.68398268398269,12.782529830932617,78.32615723371879,-0.6766666666666666,-76.60377358490565,12.782527923583984,54.79976254100747,-0.04739252995066956,-4.9258377586522695,0.020000000000000018,16.666666666666682
gaussian_noise,3,0.15,300,47.575662759145104,50.972856804724756,0.06,33.43562316894531,0.07666666666666666,40.4418830871582,0.9182692307692307,0.30666666666666664,0.8627479076385498,41.82264373143514,726.9686321215421,42.87546296040853,529.497067633729,-0.71,-92.20779220779221,17.116004943847656,104.87993473723087,-0.8066666666666666,-91.32075471698113,17.11600112915039,73.37772333737821,-0.04385198135198143,-4.557843731072085,0.18666666666666665,155.55555555555554
low_resolution,1,0.5,300,6.129414420028527,8.746009177261918,0.7466666666666667,15.958012580871582,0.8566666666666667,22.96427345275879,0.9547169811320755,0.11666666666666667,0.942348301410675,0.37639539231856656,6.542571656822662,0.6486153329456865,8.010173957401939,-0.023333333333333317,-3.030303030303028,-0.3616056442260742,-2.215772692954099,-0.026666666666666616,-3.0188679245282963,-0.36160850524902344,-1.5502457994943366,-0.007404230989136673,-0.7695736146189297,-0.003333333333333327,-2.777777777777773
low_resolution,2,0.3,300,6.754053578476111,9.856365678545528,0.7,15.990094184875488,0.84,22.996355056762695,0.9511278195488722,0.11333333333333333,0.9427943825721741,1.0010345507661507,17.400160610360803,1.7589718342292961,21.722690881140277,-0.07000000000000006,-9.090909090909099,-0.32952404022216797,-2.0191896383666545,-0.043333333333333335,-4.905660377358491,-0.3295269012451172,-1.4127092893565385,-0.01099339257234,-1.1426203303534488,-0.006666666666666668,-5.555555555555556
low_resolution,3,0.15,300,8.632796438932418,12.853087476457286,0.6733333333333333,17.48859405517578,0.7766666666666666,24.494855880737305,0.9315589353612167,0.12333333333333334,0.930359423160553,2.8797774112224577,50.056803173285836,4.755693632141055,58.73116367532497,-0.09666666666666668,-12.554112554112557,1.168975830078125,7.163009660853324,-0.10666666666666669,-12.07547169811321,1.1689739227294922,5.011488632386659,-0.030562276759995455,-3.176551600251496,0.003333333333333341,2.7777777777777843
jpeg_compression,1,40.0,300,5.782413387298584,8.0209802903965,0.7366666666666667,16.459266662597656,0.9,23.465530395507812,0.9621212121212122,0.12,0.9423313140869141,0.029394359588623686,0.5109379865952637,-0.07641355391973192,-0.9436808359441299,-0.033333333333333326,-4.329004329004328,0.1396484375,0.8557089729295083,0.01666666666666672,1.8867924528301945,0.1396484375,0.5986844902645083,0.0,0.0,0.0,0.0
jpeg_compression,2,20.0,300,5.987886562446753,8.209788730481655,0.7366666666666667,17.34326934814453,0.9066666666666666,24.349531173706055,0.9657794676806084,0.12333333333333334,0.9408888816833496,0.23486753473679212,4.082509263493314,0.11239488616542381,1.388037785074721,-0.033333333333333326,-4.329004329004328,1.023651123046875,6.272518810964706,0.023333333333333317,2.6415094339622627,1.0236492156982422,4.38846950156507,0.0036582555593962507,0.38022813688213,0.003333333333333341,2.7777777777777843
jpeg_compression,3,10.0,300,7.716666026016076,10.309330071153834,0.6533333333333333,19.522043228149414,0.8366666666666667,26.528305053710938,0.9431818181818182,0.12,0.9396283030509949,1.9636469983061158,34.13246138849922,2.2119362268376026,27.316643717289573,-0.1166666666666667,-15.151515151515154,3.202425003051758,19.623161270567007,-0.046666666666666634,-5.283018867924525,3.202423095703125,13.729054710421048,-0.018939393939393923,-1.9685039370078723,0.0,0.0
low_brightness,1,0.7,300,6.000297211011251,8.31618492464423,0.7766666666666666,17.129560470581055,0.8866666666666667,24.135820388793945,0.9580152671755725,0.12666666666666668,0.9390349388122559,0.24727818330129026,4.298233364260599,0.218791080327998,2.7019938085582074,0.006666666666666599,0.8658008658008569,0.8099422454833984,4.962997505896323,0.0033333333333334103,0.3773584905660465,0.8099384307861328,3.4722735553760256,-0.00410594494563965,-0.4267596321452235,0.006666666666666682,5.555555555555569
